Postcode,Type,Latitude,Longitude,Capacity_MW,State
2560,Solar,-34.194216,150.768408,35.0496,NSW
2563,Solar,-34.102735,150.749847,0.1908,NSW
2565,Solar,-33.996063,150.843761,6.9003,NSW
2565,Solar,-33.97723383,150.8618744,2.3001,NSW
2566,Solar,-34.027283,150.842258,16.316300000000002,NSW
2567,Solar,-34.055155,150.756493,21.8687,NSW
2568,Solar,-34.147379,150.718007,0.5865,NSW
2570,Bioenergy,-34.0586,150.3869,5.1,NSW
2570,Bioenergy,-34.042913,150.525292,117.3,NSW
2570,Solar,-34.0586,150.3869,2.2048,NSW
2570,Solar,-34.042913,150.525292,50.7104,NSW
2573,Bioenergy,-34.218439,150.584634,7.26,NSW
2575,Solar,-34.45199189,150.5702043,1.7471999999999999,NSW
2575,Solar,-34.4499186,150.473561,1.7471999999999999,NSW
2575,Solar,-34.44150439,150.4826706,1.7471999999999999,NSW
2575,Solar,-34.40830246,150.3943541,1.7471999999999999,NSW
